Index,Time,((pitch_motor)->motor_measure).total_angle,((pitch_motor)->motor_controller).pid_ref
3214,32.140515,373.095612,409.703369
3215,32.150171,373.57901,410.033356
3216,32.160300,374.150299,410.693329
3217,32.170119,374.721588,411.353302
3218,32.180377,375.424683,412.013275
3219,32.190468,376.039917,413.003235
3220,32.200369,376.611206,413.333221
3221,32.210669,377.314331,414.323181
3222,32.220212,377.929565,414.653168
3223,32.230483,378.720581,415.643127
3224,32.240332,379.423676,415.973114
3225,32.250472,380.126801,416.963074
3226,32.260374,380.873871,417.29306
3227,32.270673,381.576996,418.28302
3228,32.280215,382.280121,418.613007
3229,32.290486,383.071136,419.602966
3230,32.300325,383.730286,419.932953
3231,32.310398,384.521301,420.592926
3232,32.320243,385.136536,421.252899
3233,32.330087,385.795715,421.912872
3234,32.340666,386.586731,422.902832
3235,32.350375,387.245911,423.232819
3236,32.360444,387.90509,423.892792
3237,32.370319,388.608185,424.552765
3238,32.380219,389.179474,425.212738
3239,32.390102,389.794708,425.872711
3240,32.400670,390.497833,426.862671
3241,32.410207,391.025177,427.192657
3242,32.420466,391.684357,428.182617
3243,32.430301,392.21167,428.512604
3244,32.440149,392.826904,429.172577
3245,32.450394,393.486084,429.83255
3246,32.460469,394.101318,430.82251
3247,32.470244,394.672607,431.152496
3248,32.480112,395.331787,431.812469
3249,32.490396,395.990967,432.472443
3250,32.500246,396.606201,433.132416
3251,32.510512,397.353241,434.122375
3252,32.520374,398.012421,434.452362
3253,32.530470,398.759491,435.442322
3254,32.540428,399.506561,435.772308
3255,32.550270,400.165741,436.432281
3256,32.560106,400.956726,437.092255
3257,32.570377,401.703796,437.752228
3258,32.580477,402.494812,438.742187
3259,32.590318,403.110046,439.072174
3260,32.600276,403.769226,439.732147
3261,32.610120,404.472351,440.39212
3262,32.620429,405.175476,441.052094
3263,32.630332,405.79068,441.712067
3264,32.640396,406.405914,442.37204
3265,32.650238,406.933258,443.032013
3266,32.660195,407.504547,443.691986
3267,32.670472,408.207672,444.681946
3268,32.680327,408.866852,445.011932
3269,32.690436,409.482056,445.671906
3270,32.700271,410.009399,446.331879
3271,32.710534,410.75647,447.321838
3272,32.720491,411.371704,447.981812
3273,32.730359,412.030884,448.311798
3274,32.740206,412.602173,448.971771
3275,32.750301,413.217407,449.631744
3276,32.760135,413.832642,450.291718
3277,32.770412,414.579681,450.951691
3278,32.780514,415.238861,451.94165
3279,32.790228,415.81015,452.271637
3280,32.800514,416.55722,453.261597
3281,32.810232,417.172455,453.591583
3282,32.820496,417.96344,454.581543
3283,32.830400,418.71051,454.91153
3284,32.840284,419.457581,455.571503
3285,32.850242,420.248596,456.231476
3286,32.860091,421.083557,456.891449
3287,32.870187,421.830627,457.551422
3288,32.880445,422.621613,458.211395
3289,32.890276,423.236847,458.871368
3290,32.900141,423.808136,459.531342
3291,32.910122,424.42337,460.191315
3292,32.920382,425.08255,460.851288
3293,32.930496,425.697784,461.841248
3294,32.940333,426.181152,462.171234
3295,32.950471,426.796387,463.161194
3296,32.960320,427.367676,463.49118
3297,32.970400,428.026855,464.151154
3298,32.980349,428.64209,464.811127
3299,32.990209,429.257324,465.4711
3300,33.000475,429.960449,466.46106
3301,33.010326,430.575684,466.791046
3302,33.020179,431.278778,467.451019
3303,33.030268,431.894012,468.110992
3304,33.040540,432.597137,469.100952
3305,33.050501,433.256317,469.758972
3306,33.060353,433.915497,470.067963
3307,33.070184,434.486755,470.685944
3308,33.080735,435.233826,471.527405
3309,33.090165,435.84906,471.771912
3310,33.100423,436.59613,472.260925
3311,33.110380,437.299255,472.66394
3312,33.120230,437.958435,473.019958
3313,33.130485,438.749451,473.390472
3314,33.140193,439.40863,473.498474
3315,33.150453,440.15567,473.639465
3316,33.160301,440.81485,473.755463
3317,33.170259,441.430084,473.846466
3318,33.180157,442.045319,473.902496
3319,33.190267,442.528717,473.947021
3320,33.200104,443.012115,473.972046
3321,33.210379,443.495483,473.989075
3322,33.220230,443.847046,473.995056
3323,33.230187,444.242554,473.998047
3324,33.240452,444.682007,473.998047
3325,33.250091,445.033569,473.998047
3326,33.260380,445.429077,473.998047
3327,33.270255,445.78064,473.998047
3328,33.280154,446.132202,473.998047
3329,33.290109,446.52771,473.998047
3330,33.300380,446.967163,473.998047
3331,33.310484,447.362671,473.998047
3332,33.320369,447.714233,473.998047
3333,33.330261,448.153687,473.998047
3334,33.340161,448.549164,473.998047
3335,33.350139,448.988617,473.998047
3336,33.360218,449.384125,473.998047
3337,33.370472,449.823578,473.998047
3338,33.380362,450.17514,473.998047
3339,33.390223,450.482758,473.998047
3340,33.400491,450.922211,473.998047
3341,33.410566,451.317719,473.998047
3342,33.420510,451.66925,473.998047
3343,33.430372,451.976868,473.998047
3344,33.440226,452.284485,473.998047
3345,33.450113,452.636047,473.998047
3346,33.460167,452.98761,473.998047
3347,33.470420,453.339172,473.998047
3348,33.480208,453.602844,473.998047
3349,33.490484,453.954407,473.998047
3350,33.500331,454.218079,473.998047
3351,33.510191,454.48175,473.998047
3352,33.520448,454.877258,473.998047
3353,33.530301,455.14093,473.998047
3354,33.540649,455.492493,473.998047
3355,33.550348,455.756165,473.998047
3356,33.560191,456.063782,473.998047
3357,33.570451,456.415344,473.998047
3358,33.580319,456.679016,473.998047
3359,33.590408,456.986603,473.998047
3360,33.600366,457.29422,473.998047
3361,33.610233,457.601837,473.998047
3362,33.620488,457.865509,473.998047
3363,33.630334,458.085236,473.998047
3364,33.640178,458.348907,473.998047
3365,33.650754,458.568634,473.998047
3366,33.660297,458.788361,473.998047
3367,33.670137,459.008087,473.987061
3368,33.680407,459.271759,473.96756
3369,33.690263,459.44754,473.929047
3370,33.700089,459.667267,473.880035
3371,33.710183,459.843048,473.804047
3372,33.720138,460.018829,473.71405
3373,33.730431,460.150665,473.610046
3374,33.740284,460.326416,473.473022
3375,33.750129,460.458252,473.317505
3376,33.760657,460.590088,473.019501
3377,33.770521,460.721924,472.786011
3378,33.780479,460.809814,472.530029
3379,33.790345,460.897705,472.381531
3380,33.800182,461.029541,472.084534
3381,33.810440,461.117432,471.746521
3382,33.820287,461.161377,471.389008
3383,33.830371,461.249268,470.995514
3384,33.840466,461.293213,470.364532
3385,33.850187,461.293213,470.143524
3386,33.860476,461.293213,469.689026
3387,33.870301,461.293213,469.222046
3388,33.880125,461.337158,468.736023
3389,33.890224,461.293213,468.242523
3390,33.900308,461.293213,467.73703
3391,33.910452,461.293213,467.22702
3392,33.920354,461.293213,466.709015
3393,33.930254,461.293213,466.188019
3394,33.940345,461.293213,465.664032
3395,33.950205,461.293213,465.136017
3396,33.960445,461.293213,464.606506
3397,33.970228,461.293213,464.074493
3398,33.980100,461.293213,463.541473
3399,33.990409,461.249268,463.0065
3400,34.000476,461.249268,462.471008
3401,34.010331,461.249268,461.934998
3402,34.020289,461.205322,461.39801
3403,34.030126,461.249268,460.860504
3404,34.040385,461.205322,460.322479
3405,34.050236,461.205322,459.784454
3406,34.060314,461.161377,459.246429
3407,34.070201,461.161377,458.708405
3408,34.080159,461.161377,458.17038
3409,34.090432,461.117432,457.631378
3410,34.100451,461.117432,457.092377
3411,34.110137,461.117432,456.553375
3412,34.120409,461.073486,456.014374
3413,34.130257,461.029541,455.475372
3414,34.140507,461.029541,454.66687
3415,34.150176,460.985596,454.397369
3416,34.160317,460.94165,453.858368
3417,34.170408,460.897705,453.319366
3418,34.180269,460.809814,452.780365
3419,34.190168,460.765869,452.241364
3420,34.200422,460.677979,451.702362
3421,34.210272,460.590088,451.163849
3422,34.220479,460.458252,450.625824
3423,34.230345,460.370361,450.087799
3424,34.240184,460.282471,449.550293
3425,34.250441,460.150665,449.013306
3426,34.260289,460.10672,448.477295
3427,34.270107,460.018829,447.941284
3428,34.280440,459.886993,447.405273
3429,34.290135,459.843048,446.869263
3430,34.300414,459.711212,446.333252
3431,34.310262,459.623322,445.797241
3432,34.320096,459.535431,445.26123
3433,34.330353,459.403595,444.72522
3434,34.340441,459.315704,444.189209
3435,34.350518,459.183868,443.385193
3436,34.360245,459.095978,443.117187
3437,34.370506,458.964142,442.314728
3438,34.380356,458.832306,442.046722
3439,34.390216,458.70047,441.510712
3440,34.400282,458.568634,440.975739
3441,34.410360,458.392853,440.440765
3442,34.420507,458.217072,439.637268
3443,34.430384,458.04129,439.369263
3444,34.440284,457.865509,438.833252
3445,34.450378,457.689728,438.297241
3446,34.460227,457.513947,437.76123
3447,34.470287,457.29422,437.22522
3448,34.480550,457.118439,436.421204
3449,34.490510,456.942688,435.885193
3450,34.500223,456.722961,435.617187
3451,34.510087,456.503235,435.081177
3452,34.520355,456.239563,434.545166
3453,34.530188,456.019836,434.009155
3454,34.540506,455.712219,433.205139
3455,34.550379,455.448547,432.937134
3456,34.560158,455.14093,432.401123
3457,34.570444,454.833313,431.865112
3458,34.580303,454.569641,431.329102
3459,34.590138,454.218079,430.793091
3460,34.600419,453.866516,430.25708
3461,34.610499,453.514954,429.453064
3462,34.620346,453.207336,429.185059
3463,34.630449,452.811829,428.649567
3464,34.640162,452.504211,428.114594
3465,34.650423,452.108704,427.578583
3466,34.660258,451.757141,427.042572
3467,34.670361,451.361664,426.506561
3468,34.680209,451.010101,425.970551
3469,34.690475,450.614594,425.43454
3470,34.700433,450.263031,424.898529
3471,34.710297,449.867523,424.362518
3472,34.720133,449.472015,423.827545
3473,34.730272,449.076508,423.292572
3474,34.740134,448.681,422.757599
3475,34.750395,448.285522,422.222626
3476,34.760641,447.758179,421.420166
3477,34.770187,447.362671,421.152679
3478,34.780260,446.923218,420.617706
3479,34.790090,446.439819,420.082733
3480,34.800371,445.912476,419.54776
3481,34.810231,445.385132,419.012787
3482,34.820312,444.813843,418.477814
3483,34.830456,444.330444,417.942841
3484,34.840115,443.759155,417.407867
3485,34.850401,443.275757,416.872894
3486,34.860249,442.836334,416.337921
3487,34.870508,442.352936,415.535461
3488,34.880169,441.957428,415.267975
3489,34.890310,441.56192,414.733002
3490,34.900400,441.166412,414.198029
3491,34.910312,440.81485,413.663055
3492,34.920212,440.507233,413.128082
3493,34.930095,440.15567,412.593109
3494,34.940198,439.804138,412.058136
3495,34.950338,439.452576,411.523163
3496,34.960431,439.101013,410.98819
3497,34.970306,438.793396,410.453217
3498,34.980460,438.485779,409.918243
3499,34.990309,438.090271,409.38327
3500,35.000266,437.738708,408.848297
3501,35.010111,437.343201,408.313324
3502,35.020199,436.947693,407.778351
3503,35.030462,436.464294,407.243378
3504,35.040362,436.068787,406.708405
3505,35.050220,435.629333,406.173431
3506,35.060459,435.145935,405.638458
3507,35.070420,434.706482,405.102448
3508,35.080512,434.135223,404.298431
3509,35.090359,433.69577,404.030426
3510,35.100208,433.212372,403.494415
3511,35.110450,432.728973,402.958405
3512,35.120296,432.20163,402.421906
3513,35.130485,431.630341,401.884918
3514,35.140348,431.234863,401.347931
3515,35.150189,430.751465,400.810944
3516,35.160478,430.180176,400.273956
3517,35.170378,429.652832,399.736969
3518,35.180278,429.169434,399.199982
3519,35.190485,428.554199,398.662994
3520,35.200351,428.070801,398.126007
3521,35.210190,427.499512,397.58902
3522,35.220481,426.884277,397.052032
3523,35.230382,426.356934,396.515045
3524,35.240282,425.74173,395.978058
3525,35.250464,425.126495,395.441071
3526,35.260330,424.555206,394.904083
3527,35.270168,423.983917,394.367096
3528,35.280485,423.412628,393.830109
3529,35.290385,422.92923,393.293121
3530,35.300486,422.445831,392.756134
3531,35.310166,422.050354,392.219147
3532,35.320311,421.654846,391.682159
3533,35.330171,421.259338,391.145172
3534,35.340408,420.863831,390.608185
3535,35.350236,420.512268,390.071198
3536,35.360339,420.11676,389.53421
3537,35.370577,419.677307,388.728729
3538,35.380105,419.281799,388.460236
3539,35.390450,418.842346,387.923248
3540,35.400301,418.490784,387.386261
3541,35.410149,418.007385,386.849274
3542,35.420215,417.567963,386.312286
3543,35.430497,416.996674,385.775299
3544,35.440454,416.55722,385.238312
3545,35.450316,416.029877,384.701324
3546,35.460179,415.458588,384.164337
3547,35.470461,414.843353,383.62735
3548,35.480316,414.31601,383.090363
3549,35.490187,413.744751,382.553375
3550,35.500435,413.129517,382.016388
3551,35.510396,412.558228,381.479401
3552,35.520294,412.030884,380.942413
3553,35.530385,411.415649,380.405426
3554,35.540222,410.932251,379.868439
3555,35.550492,410.360962,379.331451
3556,35.560342,409.745728,378.794464
3557,35.570299,409.174438,378.257477
3558,35.580141,408.60318,377.72049
3559,35.590229,408.031891,377.183502
3560,35.600494,407.416656,376.646515
3561,35.610395,406.889313,376.109528
3562,35.620296,406.361969,375.57254
3563,35.630253,405.79068,375.035553
3564,35.640105,405.219421,374.498566
3565,35.650205,404.692078,373.961578
3566,35.660481,404.120789,373.424591
3567,35.670399,403.63739,372.887604
3568,35.680257,403.153992,372.350616
3569,35.690533,402.626648,371.545135
3570,35.700629,402.23114,371.008148
3571,35.710168,401.879578,370.739655
3572,35.720431,401.48407,370.202667
3573,35.730295,401.044617,369.66568
3574,35.740128,400.649109,369.128693
3575,35.750411,400.253632,368.591187
3576,35.760495,399.770233,367.784149
3577,35.770438,399.374725,367.515137
3578,35.780298,398.891327,366.977112
3579,35.790131,398.451874,366.439087
3580,35.800415,397.92453,365.901062
3581,35.810250,397.397186,365.363037
3582,35.820328,396.869843,364.825012
